Sample in Buffer,Sample in Window,TRIGGER,example_top/MonopulseEx_Arithmetic1/Arithmetic1/Arithmetic_State_reg[2]_0[1:1],example_top/CountWrite_tem[31:0],example_top/Monopulse_data1[15:0],example_top/Behind_area[5:0],Behind_area[15:6],example_top/AD_Count[2:0],example_top/Fourth_moment[40:0],example_top/MonopulsePosition_1[5:0],MonopulsePosition[15:6],example_top/MonopulsePosition[31:16],example_top/Monopulse_data_00[7:0],example_top/Monopulse_data_01[7:0],example_top/Count[15:0],example_top/Monopulse_num[15:0],example_top/Monopulse_num_reg[15:0],example_top/Peak_value[7:0],example_top/PeriodPoint_num[31:0],example_top/Period_condition[5:0],Period_condition_1[15:6],example_top/Mean_value[7:0],example_top/Period_count[5:0],example_top/Front_area[5:0],Front_area[15:6],example_top/CountRead_tem[31:0],example_top/Pulse_point_num[15:0],example_top/Monopulse_data_1[7:0],example_top/ReadPosition[31:0],example_top/Read_Fifo_Out[15:0],example_top/Mean_value_remainders[7:0],example_top/Arithmetic_State[2:0],example_top/Read_Fifo_Out_r[15:0],example_top/app_rd_data6[15:0],example_top/app_rd_data1[15:0],example_top/app_rd_data8[15:0],example_top/Third_moment[32:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/Square_data[20:0],example_top/app_rd_data2[15:0],example_top/app_rd_data7[15:0],example_top/ddr3_wr_data_r[127:0],example_top/SendToArm_Data[31:0],example_top/Write_Fifo_datain[7:0],example_top/Total_area_reg[15:0],example_top/ii[15:0],example_top/time_cnt[15:0],example_top/Read_Fifo_wusdw_o[7:0],example_top/SendToArm_Count[7:0],example_top/app_rd_data[127:0],example_top/Second_moment[23:0],example_top/Write_Fifo_Out[127:0],Period_condition_2[10:10],Period_condition_3[10:10],Period_condition_4[10:10],Period_condition_5[10:10],Period_condition_6[10:10],Period_condition_7[10:10],Period_condition_8[10:10],Period_condition_9[10:10],Period_condition_10[10:10],Period_condition_11[10:10],Period_condition_12[10:10],Period_condition_13[10:10],Period_condition_14[10:10],Period_condition_15[10:10],Period_condition_16[10:10],Period_condition[10:10],example_top/app_rd_data4[15:0],example_top/app_wdf_data[127:0],example_top/bit_count[7:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_addr_begin[28:0],example_top/ddr3_wr_data[127:0],example_top/state1[3:0],example_top/app_rd_data3[15:0],example_top/app_addr[28:0],example_top/app_rd_data5[15:0],example_top/state[3:0],example_top/Total_area[15:0],example_top/time_cnt_n[15:0],example_top/WaveState[1:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,u_ila_0_clk,example_top/ddr3_allwr_flag,example_top/ddr3_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/Extract_en,example_top/FeatureExtraction_flag,SendIRQ_OBUF_1,init_calib_complete_OBUF,example_top/OnePeriod_flag,SendIRQ_OBUF,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/S_FeatureExtraction_flag_neg,example_top/S_FeatureExtraction_flag_reg1,example_top/S_FeatureExtraction_flag_reg2,example_top/SendToArm_begin,example_top/SendToArm_Over,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
10,10,0,0,00de2e7e,116,28,208,4,17920,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4416,01,000010,009c,0097,00000000000000000000000000000000,0,b5,13968,004a,105,105,00,0096009700980099009a009b009c009d,1136,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b5,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,006a,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,11,0,0,00de2e7e,116,28,208,5,18176,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4480,01,000010,009c,0097,00000000000000000000000000000000,0,b6,13968,004b,107,105,00,0096009700980099009a009b009c009d,1152,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b6,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,006b,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,12,0,0,00de2e7e,116,28,208,6,18432,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4544,01,000010,009c,0097,00000000000000000000000000000000,0,b7,13968,004c,107,105,00,0096009700980099009a009b009c009d,1168,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b7,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,006c,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,13,0,0,00de2e7e,116,28,208,0,18688,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4608,01,000010,009c,0097,00000000000000000000000000000000,0,b8,13968,004d,109,105,00,0096009700980099009a009b009c009d,1184,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b9,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,006d,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,14,0,0,00de2e7e,116,28,208,1,18944,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4672,01,000010,009c,0097,00000000000000000000000000000000,0,ba,13968,004e,109,105,00,0096009700980099009a009b009c009d,1200,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,ba,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,006e,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,15,0,0,00de2e7e,116,28,208,2,19200,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4736,01,000010,009c,0097,00000000000000000000000000000000,0,bb,13968,004f,111,105,00,0096009700980099009a009b009c009d,1216,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,bb,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,006f,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,16,0,0,00de2e7e,116,28,208,3,19456,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4800,01,000010,009c,0097,00000000000000000000000000000000,0,bc,13968,0050,111,105,00,0096009700980099009a009b009c009d,1232,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,bc,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0070,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,17,0,0,00de2e7e,116,28,208,5,19712,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4864,01,000010,009c,0097,00000000000000000000000000000000,0,bd,13968,0051,113,105,00,0096009700980099009a009b009c009d,1248,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,be,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0071,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,18,0,0,00de2e7e,116,28,208,6,19968,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4928,01,000010,009c,0097,00000000000000000000000000000000,0,bf,13968,0052,97,105,00,0096009700980099009a009b009c009d,1264,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,bf,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0072,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,19,0,0,00de2e7e,116,28,208,7,20224,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4992,01,000010,009c,0097,00000000000000000000000000000000,0,c0,13968,0053,115,105,00,0096009700980099009a009b009c009d,1280,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,c0,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0073,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
