Sample in Buffer,Sample in Window,TRIGGER,example_top/Read_Fifo_wusdw_o[7:0],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_wdf_data[127:0],example_top/app_addr[28:0],example_top/Write_Fifo_Out[127:0],example_top/state1[3:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/state[3:0],example_top/app_rd_data[127:0],example_top/app_addr_begin[28:0],example_top/Write_Fifo_datain[7:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,example_top/ddr3_allwr_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/OnePeriod_flag,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/StartSample1,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
361,361,0,0,69000000,7b024693,2,440148014c015001540158015e469369,00014001,04d004e004f000000000000000020000,0,4c,0,000000012349b4800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,362,0,0,6a000000,7d024693,2,640168016c017001740178017e46936a,00016001,05500560057000000000000000020000,0,54,0,000000012349b5000500051005200530,00ac00ae,50,00000000100500051005200530054005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,363,0,0,6b000000,80024693,1,840188018c019001940198019e46936b,00018001,05d005e005f000000000000000020000,0,5c,0,000000012349b5800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,364,0,0,6b000000,82024693,0,840188018c019001940198019e46936b,00018001,05d005e005f000000000000000020000,0,5c,0,000000012349b5800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,365,0,0,6b000000,85024693,1,840188018c019001940198019e46936b,00018001,05d005e005f000000000000000020000,0,5c,0,000000012349b5800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,366,0,0,6b000000,87024693,1,840188018c019001940198019e46936b,00018001,05d005e005f000000000000000020000,0,5c,0,000000012349b5800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,367,0,0,6b000000,8a024693,1,840188018c019001940198019e46936b,00018001,05d005e005f000000000000000020000,0,5c,0,000000012349b5800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,368,0,0,6b000000,8c024693,2,840188018c019001940198019e46936b,00018001,05d005e005f000000000000000020000,0,5c,0,000000012349b5800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,369,0,0,6c000000,8f024693,2,a401a801ac01b001b401b801be46936c,0001a001,06500660067000000000000000020000,0,64,0,000000012349b6000600061006200630,00cc00ce,50,00000000100600061006200630064006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,370,0,0,6d000000,91024693,1,c401c801cc01d001d401d801de46936d,0001c001,06d006e006f000000000000000020000,0,6c,0,000000012349b6800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,371,0,0,6d000000,94024693,1,c401c801cc01d001d401d801de46936d,0001c001,06d006e006f000000000000000020000,0,6c,0,000000012349b6800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,372,0,0,6d000000,96024693,1,c401c801cc01d001d401d801de46936d,0001c001,06d006e006f000000000000000020000,0,6c,0,000000012349b6800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,373,0,0,6d000000,99024693,1,c401c801cc01d001d401d801de46936d,0001c001,06d006e006f000000000000000020000,0,6c,0,000000012349b6800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,374,0,0,6d000000,9b024693,2,c401c801cc01d001d401d801de46936d,0001c001,06d006e006f000000000000000020000,0,6c,0,000000012349b6800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,375,0,0,6e000000,9e024693,2,e401e801ec01f001f401f801fe46936e,0001e001,07500760077000000000000000020000,0,74,0,000000012349b7000700071007200730,00ec00ee,50,00000000100700071007200730074007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,376,0,0,6f000000,a0024693,1,040208020c021002140218021e46936f,00020002,07d007e007f000000000000000020000,0,7c,0,000000012349b7800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,377,0,0,6f000000,a3024693,1,040208020c021002140218021e46936f,00020002,07d007e007f000000000000000020000,0,7c,0,000000012349b7800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,378,0,0,6f000000,a5024693,1,040208020c021002140218021e46936f,00020002,07d007e007f000000000000000020000,0,7c,0,000000012349b7800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,379,0,0,6f000000,a8024693,1,040208020c021002140218021e46936f,00020002,07d007e007f000000000000000020000,0,7c,0,000000012349b7800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,380,0,0,6f000000,aa024693,1,040208020c021002140218021e46936f,00020002,07d007e007f000000000000000020000,0,7c,0,000000012349b7800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
