Sample in Buffer,Sample in Window,TRIGGER,example_top/Read_Fifo_wusdw_o[7:0],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_wdf_data[127:0],example_top/app_addr[28:0],example_top/Write_Fifo_Out[127:0],example_top/state1[3:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/state[3:0],example_top/app_rd_data[127:0],example_top/app_addr_begin[28:0],example_top/Write_Fifo_datain[7:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,example_top/ddr3_allwr_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/OnePeriod_flag,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/StartSample1,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
414,414,0,0,7a000000,ff024693,2,640368036c037003740378037e46937a,00036003,0d500d600d7000000000000000020000,0,d4,0,000000012349bd000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,415,0,0,7b000000,02024693,1,840388038c039003940398039e46937b,00038003,0dd00de00df000000000000000020000,0,dc,0,000000012349bd800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,416,0,0,7b000000,04024693,1,840388038c039003940398039e46937b,00038003,0dd00de00df000000000000000020000,0,dc,0,000000012349bd800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,417,0,0,7b000000,07024693,1,840388038c039003940398039e46937b,00038003,0dd00de00df000000000000000020000,0,dc,0,000000012349bd800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,418,0,0,7b000000,09024693,1,840388038c039003940398039e46937b,00038003,0dd00de00df000000000000000020000,0,dc,0,000000012349bd800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,419,0,0,7b000000,0c024693,2,840388038c039003940398039e46937b,00038003,0dd00de00df000000000000000020000,0,dc,0,000000012349bd800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,420,0,0,7c000000,0e024693,2,a403a803ac03b003b403b803be46937c,0003a003,0e500e600e7000000000000000020000,0,e4,0,000000012349be000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,421,0,0,7d000000,11024693,1,c403c803cc03d003d403d803de46937d,0003c003,0ed00ee00ef000000000000000020000,0,ec,0,000000012349be800e800e900ea00eb0,01dc01de,d0,00000000100e800e900ea00eb00ec00e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,422,0,0,7d000000,13024693,1,c403c803cc03d003d403d803de46937d,0003c003,0ed00ee00ef000000000000000020000,0,ec,0,000000012349be800e800e900ea00eb0,01dc01de,d0,00000000100e800e900ea00eb00ec00e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,423,0,0,7d000000,16024693,1,c403c803cc03d003d403d803de46937d,0003c003,0ed00ee00ef000000000000000020000,0,ec,0,000000012349be800e800e900ea00eb0,01dc01de,d0,00000000100e800e900ea00eb00ec00e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,424,0,0,7d000000,18024693,1,c403c803cc03d003d403d803de46937d,0003c003,0ed00ee00ef000000000000000020000,0,ec,0,000000012349be800e800e900ea00eb0,01dc01de,d0,00000000100e800e900ea00eb00ec00e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
